theta,Curve2
59.785,0.04551
61.705,0.10056
63.945,0.16854
65.385,0.22355
67.785,0.29801
70.825,0.39512
73.544,0.47929
76.424,0.56993
79.464,0.66058
81.544,0.70271
83.144,0.73512
85.704,0.77082
88.104,0.79682
90.023,0.80017
91.463,0.79704
93.703,0.79072
95.623,0.76823
96.903,0.75539
98.183,0.72316
99.623,0.68126
101.383,0.6426
103.143,0.56518
104.103,0.51679
105.382,0.45549
106.502,0.38772
107.622,0.33287
108.422,0.29092
109.382,0.23284
110.822,0.16509
112.262,0.08118
112.902,0.03277
113.542,0.0005
114.342,0.03932
115.142,0.11367
116.422,0.22036
117.702,0.35613
118.982,0.4499
120.742,0.5857
122.181,0.72147
123.621,0.84756
125.701,0.97691
127.301,1.10624
128.901,1.21941
131.141,1.36816
132.741,1.49425
134.981,1.61393
137.22,1.74006
138.98,1.80156
140.58,1.88242
142.5,1.96331
144.58,2.04098
145.54,2.05719
