x,Curve1
4.04,0.010948
6.4104,0.0112834
7.9399,0.0112893
9.7241,0.0112948
12.1812,0.011138
14.584,0.0118097
16.1311,0.0142686
18.2518,0.016267
19.962,0.019653
24.415,0.031761
27.909,0.052071
31.194,0.084133
35.661,0.133982
39.42,0.2013
43.559,0.3447
55.683,0.75591
62.258,1.08731
74.438,1.8622
90.045,2.7582
108.917,4.2056
117.812,4.7249
142.555,6.3213
180.406,9.0953
201.813,10.8308
258.32,14.9195
295.56,17.767
365.85,22.106
400.21,24.836
457.92,29.15
560.53,35.228
655.9,42.569
758.92,51.438
898.07,63.068
