x,Curve1,Curve2
21.620528,2.4927,
21.620602,1.9765,
21.622586,1.3838,
21.624219,1.0288,
21.626049,1.5081,
21.630093,1.9907,
21.633194,2.4321,
21.634754,2.5933,
21.636951,2.7157,
21.639505,2.5606,
21.641133,2.2454,
21.643715,1.8918,
21.646925,1.5789,
21.649202,1.1455,
21.654005,0.7555,
21.659752,0.4067,
21.661983,0.2909,
21.667587,0.9346,
21.670038,1.4942,
21.671862,2.0132,
21.674319,2.5331,
21.677403,3.0936,
21.680821,3.5355,
21.684566,3.8985,
21.687408,3.9424,
21.690674,3.2325,
21.692031,2.5991,
21.692727,2.1634,
21.696005,1.374,
21.699249,0.8229,
21.702769,0.5502,
21.704696,0.3545,
21.710684,0.5222,
21.714775,0.6872,
21.716294,1.1262,
21.719999,1.7671,
21.723687,2.5272,
21.72485,3.2437,
21.728509,4.2022,
21.729373,4.7992,
21.731197,5.3181,
21.733084,5.4004,
21.735367,4.9272,
21.736069,4.4517,
21.738662,4.0188,
21.742873,3.3499,
21.742958,2.7544,
21.746513,2.2435,
21.749141,1.5723,
21.753,1.1412,
21.756826,0.9483,
21.761916,0.7574,
21.765317,1.3184,
21.767417,2.1157,
21.77141,2.9556,
21.773821,3.7931,
21.775301,4.5101,
21.77804,5.2687,
21.779214,5.9059,
21.779755,6.5421,
21.782523,7.1021,
21.782879,6.8247,
21.784242,6.1516,
21.787508,5.4417,
21.78921,4.6103,
21.789946,3.8966,
21.792275,3.1058,
21.797796,2.1213,
21.799435,1.7266,
21.801696,1.4123,
21.804917,1.02,
21.807217,0.4277,
21.808833,0.1919,
21.815058,0.9159,
21.816278,1.2354,
21.818125,1.5956,
21.827145,7.0892,
21.831184,7.6114,
21.835773,6.5063,
21.837118,5.9524,
21.838216,4.9215,
21.840861,4.1312,
21.842868,3.3797,
21.845174,2.7478,
21.848763,1.9986,
21.851052,1.4858,
21.855522,1.2144,
21.858081,1.0197,
21.865532,2.0236,
21.868541,3.1003,
21.871568,4.0578,
21.875171,5.4134,
21.876587,6.5671,
21.87889,8.159,
21.879021,7.2458,
21.881974,8.7195,
21.885189,8.3669,
21.886874,7.6546,
21.888575,6.8232,
21.889368,5.7125,
21.889582,6.4276,
21.892318,5.0021,
21.893675,4.3687,
21.897563,3.7392,
21.898564,3.3832,
21.89896,2.8279,
21.901249,2.315,
21.905408,2.0035,
21.911684,2.3703,
21.915723,2.8925,
21.918169,3.4919,
21.921535,4.2911,
21.923324,5.0483,
21.924775,5.9638,
21.928107,7.0012,
21.929828,8.2349,
21.931969,8.7543,
21.934776,9.0364,
21.936806,8.1261,
21.937536,7.4521,
21.938582,6.7786,
21.939973,5.907,
21.941664,5.155,
21.942382,4.5604,
21.945027,3.7701,
21.948288,3.0999,
21.950577,2.5871,
21.95412,2.1555,
21.958906,1.8847,
21.963623,2.0902,
21.967035,2.5718,
21.969774,3.3304,
21.971564,4.0876,
21.972715,4.8836,
21.97481,5.7206,
21.976554,6.7954,
21.977717,7.5119,
21.978275,8.029,
21.982149,9.7027,
21.984415,9.3486,
21.985783,8.6359,
21.98714,8.0025,
21.987502,7.6854,
21.987633,6.7722,
21.989352,5.8217,
21.990399,5.1482,
21.992411,4.3569,
21.994407,3.6848,
21.997311,3.292,
21.998651,2.7778,
22.002562,1.9894,
22.005144,1.6358,
22.013613,2.1647,
22.017606,3.0046,
22.022095,4.7982,
22.024121,6.1117,
22.025894,6.988,
22.029852,8.0661,
22.030342,9.0596,
22.031155,10.0139,

