x,Curve1
3.196,0.10321
9.97,0.10566
17.1,0.10294
22.445,0.12349
28.504,0.14144
33.845,0.19814
36.33,0.28587
38.101,0.3762
40.592,0.42004
42.735,0.38644
43.81,0.33994
44.532,0.26248
48.459,0.21335
54.518,0.2313
57.716,0.31644
61.267,0.43513
62.673,0.6055
63.374,0.70617
64.428,0.83782
65.128,0.95141
65.83,1.04434
66.515,1.27668
67.2,1.50903
67.214,1.39026
68.315,1.13207
68.617,1.59161
70.032,1.68195
72.169,1.6974
72.886,1.6664
73.963,1.60442
75.406,1.45465
77.207,1.29971
77.94,1.13705
79.387,0.95888
79.399,0.85561
79.769,0.742
83.355,0.56637
85.866,0.43982
92.649,0.35707
97.643,0.33374
103.347,0.33363
109.76,0.37223
114.387,0.43668
120.439,0.50627
123.986,0.65853
126.111,0.77983
127.521,0.91405
130.357,1.04309
132.838,1.17213
134.962,1.29601
135.308,1.38378
137.081,1.4612
138.856,1.52313
143.846,1.53594
143.851,1.49721
147.426,1.41195
149.218,1.3293
151.372,1.20791
152.456,1.08139
154.608,0.97291
157.825,0.90056
159.972,0.83855
164.609,0.81523
169.239,0.85645
172.082,0.92868
174.923,1.01899
178.121,1.11187
180.958,1.23832
182.373,1.33124
183.431,1.4319
186.98,1.56609
189.107,1.66415
191.947,1.7622
195.152,1.79312
202.641,1.77749
205.86,1.68448
209.433,1.61729
213.015,1.4778
216.237,1.36156
218.388,1.266
221.253,1.16009
223.758,1.07742
224.837,0.99995
228.412,0.91468
232.698,0.84747
236.983,0.78801
242.336,0.73885
248.758,0.70517
257.313,0.71016
265.862,0.76938
272.63,0.82088
281.889,0.9059
288.296,0.99098
293.277,1.0735
299.683,1.1689
305.731,1.27205
312.854,1.33646
319.274,1.31051
321.776,1.25108
326.063,1.17871
327.855,1.10381
331.788,1.00562
336.081,0.87903
342.874,0.71883
348.587,0.64385
355.371,0.55336
361.795,0.49127
370.715,0.43688
384.624,0.39272
397.46,0.37182
414.933,0.3405
432.404,0.31951
446.666,0.30891
462.711,0.28794
479.111,0.2773
498.363,0.27176
