x,Curve1
-0.01089,81.188
0.08198,81.118
0.19517,81.034
0.33418,78.401
0.47603,75.205
0.58286,70.35
0.62313,67.23
0.67801,64.942
0.69813,63.241
0.73266,60.687
0.73782,55.065
0.7731,58.971
0.77669,64.868
0.79586,55.022
0.8151,45.738
0.86049,61.715
0.88175,44.845
0.90328,30.222
0.94264,44.238
0.96497,61.637
0.98816,36.338
0.98917,45.046
1.00404,23.124
1.03172,11.587
1.06587,30.662
1.09577,63.224
1.10761,40.182
1.1168,19.388
1.1498,3.633
1.17243,-1.44
1.21267,20.159
1.21629,1.336
1.24075,36.992
1.26586,53.265
1.27072,70.116
1.28944,31.338
1.30506,15.876
1.30969,5.761
1.34363,-1.849
1.42206,-1.346
1.45216,7.901
1.46034,28.4
1.47368,43.278
1.48832,69.391
1.49481,100.285
1.51845,53.919
1.52774,33.968
1.54914,18.222
1.56179,2.201
1.58171,-1.185
1.75017,-0.187
1.77538,16.929
1.77681,29.287
1.80032,56.798
1.81321,92.743
1.83854,135.982
1.85941,65.742
1.86753,35.68
1.8767,14.605
1.90122,0.823
1.91253,-1.714
2.25216,-1.406
2.28447,1.94
2.30397,44.903
2.3283,104.436
2.36737,190.923
2.39437,148.487
2.39959,43.427
2.40226,116.459
2.40637,26.849
2.41051,87.52
2.41935,13.637
2.4531,4.342
2.4756,-1.854
2.55102,-2.192
2.81532,-0.704
3.0998,-0.356
3.13238,5.238
3.14226,15.343
3.14794,39.215
3.15325,59.998
3.16281,92.294
3.18472,131.041
3.19124,162.216
3.20477,103.779
3.22127,70.902
3.22965,43.086
3.2367,28.755
3.2696,12.158
3.31538,6.505
3.35067,10.411
3.35778,21.642
3.38409,48.308
3.41696,81.429
3.42864,106.982
3.45521,160.895
3.47559,111.442
3.4767,45.991
3.48179,89.808
3.48231,69.302
3.49216,29.126
3.50488,13.667
3.52982,3.536
3.54671,-0.971
4.17946,-0.883
4.76862,-1.325
4.81084,12.408
4.81675,38.246
4.83569,151.434
4.8458,88.505
4.88177,373.31
4.89644,149.703
4.90062,110.655
4.90476,21.326
4.91793,9.799
4.94575,-0.615
4.99792,-1.216
6.33024,-0.528
6.37697,1.965
6.38972,11.787
6.42523,92.659
6.45233,226.066
6.51334,501.582
6.54011,207.18
6.56157,141.995
6.56643,58.845
6.58466,15.854
6.62408,5.431
6.67561,-0.787
6.73075,-0.828
7.49716,0.564
