x,Curve1
0.01472,0.0696
0.36635,0.5859
0.60077,0.9301
0.84987,1.3089
0.93784,1.4816
0.99647,1.5852
1.04033,1.5841
1.07331,1.6446
1.11365,1.7398
1.13571,1.8267
1.17227,1.8346
1.20882,1.8337
1.23441,1.8331
1.27486,2.007
1.29329,2.1115
1.30796,2.1461
1.37013,2.1709
1.42862,2.1782
1.47615,2.1859
1.48722,2.2555
1.52034,2.4121
1.52782,2.5256
1.54985,2.595
1.61928,2.5846
1.68871,2.5743
1.75084,2.5728
1.80566,2.5715
1.82772,2.6584
1.83883,2.7631
1.84272,2.9203
1.85386,3.0425
1.86866,3.1645
1.898,3.2337
1.95283,3.2325
2.09902,3.229
2.31101,3.2328
2.34423,3.4506
2.35551,3.6689
2.38506,3.878
2.39261,4.0439
2.41482,4.2357
2.46606,4.2869
2.53186,4.2941
2.74382,4.2717
2.90103,4.303
3.10571,4.307
3.16052,4.297
3.19372,4.506
3.20497,4.698
3.21626,4.925
3.22384,5.1084
3.25315,5.1514
3.29339,5.1767
3.35915,5.1577
3.39939,5.183
3.40324,5.314
3.43288,5.5931
3.44427,5.8813
3.46656,6.1255
3.46677,6.2741
3.48519,6.3698
3.52187,6.4564
3.5767,6.4638
4.18343,6.4672
4.80115,6.4877
4.83803,6.7141
4.86102,7.4391
4.86419,7.1069
4.87257,7.841
4.88397,8.1379
4.8881,8.4612
4.9102,8.5744
4.97602,8.599
5.08201,8.5966
5.62665,8.6276
6.36491,8.6016
6.41263,8.7404
6.43488,8.9584
6.46159,9.727
6.46591,10.1814
6.48503,10.7579
6.50798,11.4567
6.53442,12.0417
6.55341,12.5308
6.57931,12.7487
6.65995,12.9042
6.77321,12.8753
7.05834,12.9037
7.36537,12.914
