x,Curve1,Curve2,Curve3,Curve4,Curve5
0.003078,,,1.2675e+15,,
0.003562,3.0853e+13,,,,
0.003694,4.8443e+13,,,,
0.003723,,7.606e+13,,,
0.00394,1.7985e+13,,,,
0.003958,2.387e+13,,,,
0.004026,1.3671e+13,,,,
0.004114,1.0862e+13,,,,
0.004136,,,,,4.85e+16
0.004423,,,,6.805e+15,
0.004721,9.019e+12,,,,
0.005228,7.898e+12,,,,
0.005352,,,1.3842e+15,,
0.005682,,7.603e+13,,,
0.005886,,,,,4.6387e+16
0.006479,,,,6.172e+15,
0.006878,7.966e+12,,,,
0.007211,,,1.4592e+15,,
0.007636,,,,,4.4761e+16
0.007819,,,,6.225e+15,
0.007848,,7.668e+13,,,
0.008941,8.105e+12,,,,
0.010612,,,1.4201e+15,,
0.010693,8.031e+12,,,,
0.010735,,7.732e+13,,,
0.010925,,,,,3.7813e+16
0.01112,,,,6.332e+15,
0.013208,,7.593e+13,,,
0.013289,,,1.358e+15,,
0.013484,,,,5.743e+15,
0.013488,,,,,3.0297e+16
0.013681,7.817e+12,,,,
0.015437,,,,5.2084e+15,
0.017099,,,1.2644e+15,,
0.0174,,,,,2.7959e+16
0.017537,,7.521e+13,,,
0.018419,,,,4.6401e+15,
0.019247,7.74e+12,,,,
0.020597,,,1.1363e+15,,
0.023256,,,,,2.0312e+16
0.024093,7.734e+12,,,,
0.024901,,,,3.7815e+15,
0.025161,,6.997e+13,,,
0.025432,,,9.597e+14,,
0.029107,,,,,1.3628e+16
0.032007,,,6.729e+14,,
0.032338,7.454e+12,,,,
0.033831,,,,2.0689e+15,
0.037936,,,,,7.656e+15
0.049143,,,1.9102e+14,,
0.04955,,3.4946e+13,,,
0.049827,,,,5.3295e+14,
0.049851,6.171e+12,,,,
0.050047,,,,,3.2969e+15
0.055096,,,1.2591e+14,,
0.056821,,,,,2.0788e+15
0.058164,,,8.526e+13,,
0.058902,4.4021e+12,,,,
0.059894,,,,,1.511e+15
0.064008,,,5.1443e+13,,
0.064129,,1.3768e+13,,,
0.064204,,,,,1.1176e+15
0.067008,2.4301e+12,,,,
0.067595,,,3.7389e+13,,
0.068206,,,,,8.341e+14
0.070416,,,,6.641e+13,
0.070459,,,2.6002e+13,,
0.071012,1.8789e+12,,,,
0.07185,,,,5.814e+13,
0.072822,,,,,5.748e+14
0.074601,1.39e+12,,,,
0.075124,,,,3.9028e+13,
0.07579,,,1.6399e+13,,
0.076611,,,,,3.8576e+14
0.076626,,3.9116e+12,,,
0.079484,,2.49e+12,,,
0.081051,6.842e+11,,,,
0.081775,,,,1.7739e+13,
0.082752,,,7.654e+12,,
0.083382,,,,,2.3066e+14
0.084391,,1.2928e+12,,,
0.087259,,,4.9139e+12,,
0.087593,2.8717e+11,,,,
0.088985,,6.422e+11,,,
0.089559,,,,8.061e+12,
0.089748,,,,,1.5337e+14
