x,Curve1,Curve2,Curve3
0.44566,0.4206,,
0.46365,0.5842,,
0.47849,0.6518,,
0.5071,0.8063,,
0.52721,0.9795,,
0.55158,1.1146,,
0.57188,,0.7036,
0.57275,1.2879,,
0.59607,1.4038,,
0.61324,,0.8106,
0.61443,,,0.4084
0.61936,1.5867,,
0.63444,,0.8785,
0.64054,1.7409,,
0.65989,,0.9562,
0.66275,1.9717,,
0.67223,2.2211,,
0.67791,,1.0432,
0.70676,,,0.4313
0.70719,2.4332,,
0.70759,,1.1497,
0.72161,,,0.4607
0.72347,,1.2941,
0.72622,2.6639,,
0.74071,,,0.4806
0.74523,2.9616,,
0.74786,,1.3621,
0.76406,,,0.4816
0.76847,3.3074,,
0.7754,,1.5548,
0.78209,,,0.5206
0.78807,,1.7565,
0.79488,3.7012,,
0.8086,,,0.6175
0.81031,,1.9107,
0.81066,4.1521,,
0.83406,,,0.6664
0.8367,,2.3524,
0.83706,4.5746,,
0.85948,,,0.8111
0.85994,,2.7077,
0.86133,5.0162,,
0.87745,,,1.0418
0.87925,5.3905,,
0.88208,,3.1684,
0.90211,,3.6098,
0.90245,5.8704,,
0.90491,,,1.4739
0.92281,,,1.9249
0.92352,6.3693,,
0.9253,,4.128,
0.94639,,4.5599,
0.94778,6.8397,,
0.94921,,,2.3761
0.96038,7.2904,,
0.96433,,4.8672,
0.9692,,,2.9038
0.98783,7.7513,,
0.98966,,5.3184,
0.99349,,,3.2975
1.0121,8.2025,,
1.01284,,5.8749,
1.01562,,,3.8061
1.03001,8.5959,,
1.03247,,,4.2282
1.03287,,6.2972,
1.05712,,6.7963,
1.05782,,,4.6124
1.07576,,,4.9292
1.09721,,7.5642,
1.10108,,,5.4188
1.12254,,8.025,
1.12431,,,5.8029
1.13904,,,6.1962
1.14257,,8.4664,
1.16437,,,6.6474
1.1658,,8.8314,
1.18654,,,7.0219
1.20871,,,7.4059
1.22874,,,7.8378
1.2488,,,8.1739
1.27414,,,8.5868
