x,Curve1,Curve2
0.10718,,0.16107
0.13233,,0.17778
0.15409,,0.21471
0.16943,0.02608,
0.17755,,0.24153
0.19431,,0.25828
0.21307,0.01576,
0.21605,,0.30867
0.22983,0.02578,
0.24455,,0.32873
0.24661,0.02569,
0.26673,0.03569,
0.27135,,0.36563
0.28852,0.05915,
0.30694,0.08599,
0.31826,,0.41927
0.32873,0.09935,
0.3572,0.14634,
0.38695,,0.50646
0.39235,0.21014,
0.41576,0.27736,
0.42211,,0.56016
0.44588,0.34118,
0.44724,,0.59707
0.47097,0.40503,
0.48074,,0.6373
0.5144,0.55632,
0.52095,,0.6876
0.53617,0.58652,
0.56114,,0.74801
0.59624,0.85557,
0.60636,,0.81175
0.63653,,0.83854
0.63971,0.97993,
0.65303,1.05731,
0.67336,,0.90232
0.68806,1.22548,
0.70977,1.30618,
0.72362,,0.96604
0.7448,1.46762,
0.76045,,1.02983
0.77482,1.60888,
0.79396,,1.0667
0.83157,1.84428,
0.83246,,1.13721
0.84485,1.95533,
0.87771,,1.18075
0.89483,2.24464,
0.9065,2.29845,
0.93631,,1.28147
0.95975,,1.31502
0.96983,2.6382,
0.98983,2.74921,
1.01167,,1.39556
1.02815,2.96114,
1.04488,3.00146,
1.05021,,1.43241
1.07317,3.18987,
1.09975,3.40185,
1.10379,,1.51968
1.1148,3.44218,
1.12644,3.5263,
1.13143,3.55994,
1.15144,3.65412,
1.15151,3.59688,
1.19424,,1.64043
1.22106,1.66723,
1.25622,1.7243,
1.30646,1.80148,
1.34833,1.86188,
1.40864,1.93228,
1.46389,2.02628,
1.53256,2.12357,
1.59786,2.23772,
1.67825,2.34843,
1.76031,2.47259,
1.82562,2.57664,
1.9311,2.75119,
1.98301,2.8351,
