x,Curve1
-0.098817,-0.00781
-0.08775,-0.00763
-0.069571,-0.01361
-0.053758,-0.0071
-0.041905,-0.01944
-0.037162,-0.01936
-0.000791,-1e-05
0.039521,-0.0119
0.052172,-0.00544
0.069563,-0.00517
0.078261,0.00122
0.082214,0.00129
0.087745,-0.00489
0.090179,0.15165
0.100075,1.19092
0.102541,1.42883
0.108863,1.42267
0.116785,1.46662
0.142052,1.39189
0.160254,1.44226
0.16973,1.41737
0.180795,1.41128
0.194209,1.34889
0.200578,1.46167
0.208453,1.38667
0.217996,1.5308
0.219525,1.39937
0.231405,1.45589
0.259096,1.51266
0.278997,1.86352
0.29652,2.19556
0.318267,3.21625
0.338043,3.24786
0.357023,3.26693
0.378357,3.24223
0.398913,3.24881
