x,Curve1
-463.429,0.66435
-461.611,0.66437
-459.792,0.66438
-457.974,0.6644
-456.156,0.66442
-454.338,0.66443
-452.52,0.66444
-450.701,0.66445
-448.883,0.66445
-447.065,0.66453
-445.247,0.66466
-443.429,0.66469
-441.611,0.66463
-439.792,0.66441
-437.974,0.664
-436.156,0.66375
-434.338,0.66419
-432.52,0.66553
-430.701,0.66728
-428.883,0.66896
-427.065,0.67002
-425.247,0.66927
-423.429,0.66635
-421.611,0.66398
-419.792,0.66306
-417.974,0.66293
-416.156,0.66321
-414.338,0.6638
-412.52,0.66469
-410.701,0.66539
-408.883,0.66476
-407.065,0.66466
-405.247,0.66499
-403.429,0.66565
-401.611,0.66664
-399.792,0.66807
-397.974,0.67028
-396.156,0.67504
-394.338,0.68792
-392.52,0.69228
-390.701,0.69459
-388.883,0.69619
-387.065,0.69739
-385.247,0.69817
-383.429,0.69806
-381.611,0.69648
-379.792,0.69146
-377.974,0.67879
-376.156,0.67249
-374.338,0.66567
-372.52,0.66189
-370.701,0.66105
-368.883,0.66209
-367.065,0.6628
-365.247,0.6629
-363.429,0.66346
-361.611,0.66463
-359.792,0.66746
-357.974,0.68886
-356.156,0.69888
-354.338,0.70578
-352.52,0.71422
-350.701,0.7209
-348.883,0.72509
-347.065,0.72843
-345.247,0.72728
-343.429,0.72615
-341.611,0.72471
-339.792,0.72218
-337.974,0.71525
-336.156,0.70322
-334.338,0.69009
-332.52,0.67678
-330.701,0.66739
-328.883,0.66563
-327.065,0.66546
-325.247,0.66463
-323.429,0.66364
-321.611,0.66313
-319.792,0.6641
-317.974,0.68878
-316.156,0.70647
-314.338,0.71849
-312.52,0.72944
-310.701,0.74097
-308.883,0.74461
-307.065,0.74807
-305.247,0.75109
-303.429,0.75305
-301.611,0.75039
-299.792,0.74173
-297.974,0.7384
-296.156,0.73396
-294.338,0.72636
-292.52,0.7106
-290.701,0.68233
-288.883,0.66953
-287.065,0.66442
-285.247,0.66319
-283.429,0.66369
-281.611,0.6661
-279.792,0.67223
-277.974,0.69642
-276.156,0.7088
-274.338,0.73837
-272.52,0.74956
-270.701,0.75598
-268.883,0.76291
-267.065,0.7704
-265.247,0.77469
-263.429,0.77553
-261.611,0.77428
-259.792,0.77083
-257.974,0.75557
-256.156,0.75122
-254.338,0.74458
-252.52,0.73081
-250.701,0.7111
-248.883,0.68994
-247.065,0.67534
-245.247,0.6682
-243.429,0.65974
-241.611,0.66022
-239.792,0.67032
-237.974,0.69173
-236.156,0.69459
-234.338,0.71308
-232.52,0.73863
-230.701,0.77424
-228.883,0.77869
-227.065,0.78437
-225.247,0.79545
-223.429,0.79747
-221.611,0.79692
-219.792,0.79458
-217.974,0.78802
-216.156,0.76755
-214.338,0.75326
-212.52,0.74118
-210.701,0.72373
-208.883,0.69988
-207.065,0.68586
-205.247,0.66784
-203.429,0.6606
-201.611,0.66114
-199.792,0.66671
-197.974,0.69873
-196.156,0.71328
-194.338,0.73599
-192.52,0.77405
-190.701,0.7822
-188.883,0.80039
-187.065,0.80767
-185.247,0.81305
-183.429,0.81634
-181.611,0.81374
-179.792,0.80685
-177.974,0.79929
-176.156,0.783
-174.338,0.77064
-172.52,0.75737
-170.701,0.73766
-168.883,0.7165
-167.065,0.69912
-165.247,0.67062
-163.429,0.6657
-161.611,0.66525
-159.792,0.67203
-157.974,0.69551
-156.156,0.72351
-154.338,0.75386
-152.52,0.77722
-150.701,0.80445
-148.883,0.81794
-147.065,0.82663
-145.247,0.83119
-143.429,0.83441
-141.611,0.83606
-139.792,0.83045
-137.974,0.8214
-136.156,0.80566
-134.338,0.78971
-132.52,0.77387
-130.701,0.75758
-128.883,0.74015
-127.065,0.72003
-125.247,0.69121
-123.429,0.66112
-121.611,0.66197
-119.792,0.66867
-117.974,0.71306
-116.156,0.74737
-114.338,0.77258
-112.52,0.79757
-110.701,0.81161
-108.883,0.82514
-107.065,0.83697
-105.247,0.84236
-103.429,0.84424
-101.611,0.84261
-99.792,0.83826
-97.974,0.83205
-96.156,0.8167
-94.338,0.79967
-92.52,0.78064
-90.701,0.76207
-88.883,0.7438
-87.065,0.72466
-85.247,0.70028
-83.429,0.6699
-81.611,0.66511
-79.792,0.66718
-77.974,0.68719
-76.156,0.7299
-74.338,0.75696
-72.52,0.80292
-70.701,0.82385
-68.883,0.83463
-67.065,0.84636
-65.247,0.85508
-63.429,0.85379
-61.611,0.8502
-59.792,0.84683
-57.974,0.84928
-56.156,0.82929
-54.338,0.80983
-52.52,0.79039
-50.701,0.77013
-48.883,0.75387
-47.065,0.72258
-45.247,0.69609
-43.429,0.66592
-41.611,0.66078
-39.792,0.66264
-37.974,0.68098
-36.156,0.7278
-34.338,0.76337
-32.52,0.78901
-30.701,0.81455
-28.883,0.84365
-27.065,0.85238
-25.247,0.86133
-23.429,0.86038
-21.611,0.86191
-19.792,0.86281
-17.974,0.86156
-16.156,0.83698
-14.338,0.82781
-12.52,0.81365
-10.701,0.79296
-8.883,0.78417
-7.065,0.75092
-5.247,0.71175
-3.429,0.67901
-1.611,0.66542
0.208,0.67732
2.026,0.71098
3.844,0.75361
5.662,0.8064
7.48,0.8224
9.299,0.83349
11.117,0.85103
12.935,0.86251
14.753,0.87002
16.571,0.87453
18.389,0.8753
20.208,0.87374
22.026,0.87077
23.844,0.86605
25.662,0.84748
27.48,0.83742
29.299,0.81821
31.117,0.76037
32.935,0.72982
34.753,0.69923
36.571,0.67921
38.389,0.66437
40.208,0.66676
42.026,0.69003
43.844,0.73841
45.662,0.80007
47.48,0.83049
49.299,0.84628
51.117,0.8617
52.935,0.86812
54.753,0.8725
56.571,0.87515
58.389,0.87542
60.208,0.87248
62.026,0.86624
63.844,0.85283
65.662,0.83988
67.48,0.8193
69.299,0.78241
71.117,0.76027
72.935,0.74335
74.753,0.70839
76.571,0.67962
78.389,0.67092
80.208,0.695
82.026,0.71275
83.844,0.73676
85.662,0.79696
87.48,0.81915
89.299,0.83561
91.117,0.84824
92.935,0.85792
94.753,0.86669
96.571,0.87266
98.389,0.87634
100.208,0.87647
102.026,0.86814
103.844,0.84866
105.662,0.83945
107.48,0.83231
109.299,0.80233
111.117,0.78072
112.935,0.76172
114.753,0.73326
116.571,0.68529
118.389,0.66987
120.208,0.67802
122.026,0.69287
123.844,0.72564
125.662,0.76586
127.48,0.81115
129.299,0.82911
131.117,0.845
132.935,0.85918
134.753,0.86208
136.571,0.86294
138.389,0.8628
140.208,0.86142
142.026,0.85666
143.844,0.84343
145.662,0.82894
147.48,0.81397
149.299,0.7955
151.117,0.77139
152.935,0.72596
154.753,0.69852
156.571,0.69352
158.389,0.68355
160.208,0.67163
162.026,0.68475
163.844,0.71947
165.662,0.74976
167.48,0.77659
169.299,0.80396
171.117,0.82396
172.935,0.83601
174.753,0.84499
176.571,0.85093
178.389,0.85362
180.208,0.85391
182.026,0.85169
183.844,0.83822
185.662,0.82201
187.48,0.80655
189.299,0.78857
191.117,0.76997
192.935,0.75158
194.753,0.72159
196.571,0.70179
198.389,0.67666
200.208,0.66818
202.026,0.67153
203.844,0.70047
205.662,0.72942
207.48,0.76095
209.299,0.79129
211.117,0.8137
212.935,0.83286
214.753,0.83912
216.571,0.84057
218.389,0.8403
220.208,0.83918
222.026,0.83742
223.844,0.83458
225.662,0.8051
227.48,0.79095
229.299,0.77276
231.117,0.75828
232.935,0.738
234.753,0.71416
236.571,0.67213
238.389,0.66586
240.208,0.66464
242.026,0.67378
243.844,0.70557
245.662,0.75404
247.48,0.76186
249.299,0.7838
251.117,0.80469
252.935,0.8118
254.753,0.81779
256.571,0.82276
258.389,0.82454
260.208,0.82336
262.026,0.82027
263.844,0.81548
265.662,0.79952
267.48,0.78635
269.299,0.77468
271.117,0.76225
272.935,0.73315
274.753,0.70807
276.571,0.69446
278.389,0.66737
280.208,0.66376
282.026,0.66829
283.844,0.71227
285.662,0.73786
287.48,0.75725
289.299,0.77523
291.117,0.78247
292.935,0.7896
294.753,0.79618
296.571,0.80142
298.389,0.80391
300.208,0.80192
302.026,0.79628
303.844,0.7898
305.662,0.78353
307.48,0.7719
309.299,0.75866
311.117,0.74577
312.935,0.72862
314.753,0.70096
316.571,0.66619
318.389,0.66761
320.208,0.66972
322.026,0.67052
323.844,0.69188
325.662,0.72649
327.48,0.74452
329.299,0.7587
331.117,0.77174
332.935,0.7794
334.753,0.78354
336.571,0.78472
338.389,0.78371
340.208,0.78116
342.026,0.77728
343.844,0.77195
345.662,0.76525
347.48,0.75608
349.299,0.7392
351.117,0.71254
352.935,0.69072
354.753,0.67074
356.571,0.66528
358.389,0.6626
360.208,0.66166
362.026,0.66256
363.844,0.67607
365.662,0.69995
367.48,0.71645
369.299,0.73241
371.117,0.7455
372.935,0.75255
374.753,0.75701
376.571,0.76005
378.389,0.7617
380.208,0.76051
382.026,0.75377
383.844,0.74566
385.662,0.7377
387.48,0.72935
389.299,0.7196
391.117,0.70061
392.935,0.66686
394.753,0.66259
396.571,0.66085
398.389,0.66017
400.208,0.66012
402.026,0.66137
403.844,0.66989
405.662,0.68826
407.48,0.6986
409.299,0.71235
411.117,0.72526
412.935,0.73224
414.753,0.73387
416.571,0.73339
418.389,0.73202
420.208,0.73015
422.026,0.72791
423.844,0.72484
425.662,0.70493
427.48,0.68877
429.299,0.67256
431.117,0.66149
432.935,0.66009
434.753,0.6602
436.571,0.66042
438.389,0.66028
440.208,0.65989
442.026,0.65962
443.844,0.65999
445.662,0.66252
447.48,0.66976
449.299,0.67738
451.117,0.68367
452.935,0.69116
454.753,0.69951
456.571,0.70391
458.389,0.70381
460.208,0.70055
462.026,0.69495
463.844,0.68677
465.662,0.67693
467.48,0.66929
469.299,0.66497
471.117,0.66286
472.935,0.66188
474.753,0.66158
476.571,0.66169
478.389,0.66196
480.208,0.66216
482.026,0.66198
483.844,0.66138
485.662,0.66066
487.48,0.66002
489.299,0.65967
491.117,0.65997
492.935,0.66164
494.753,0.66686
496.571,0.66737
498.389,0.66611
500.208,0.66445
502.026,0.66264
503.844,0.66084
505.662,0.65939
507.48,0.65992
509.299,0.66077
511.117,0.66101
512.935,0.66101
514.753,0.66091
516.571,0.66076
518.389,0.66058
520.208,0.6604
522.026,0.66021
523.844,0.66005
525.662,0.65991
527.48,0.65981
529.299,0.65976
531.117,0.65974
532.935,0.65976
534.753,0.65981
536.571,0.65987
538.389,0.65994
540.208,0.65999
542.026,0.66002
543.844,0.66004
545.662,0.66004
547.48,0.66003
549.299,0.66002
551.117,0.66003
552.935,0.66004
554.753,0.6601
556.571,0.6602
558.389,0.66037
560.208,0.66061
562.026,0.66091
563.844,0.66125
