x,Curve1,Curve2,Curve3
0.7252,,0.45968,
0.8952,1.00315,,
1.1617,1.38532,,
1.5392,,1.05073,
1.5561,,,0.40568
1.5995,,,0.5072
1.609,1.89884,,
1.7886,2.07796,,
1.9597,2.57962,,
2.1717,,1.52836,
2.2406,,,0.6623
2.5341,,1.76716,
2.5964,2.90196,,
2.79,,,0.79951
2.9261,,,0.88309
2.9855,,2.12539,
2.9874,,2.05372,
3.0428,3.45131,,
3.246,,,0.98453
4.0774,,2.6626,
4.2074,,,1.22315
4.2158,4.40659,,
4.764,4.58561,,
4.9908,,2.97291,
5.1706,,,1.39607
5.673,,,1.56912
5.765,5.07507,,
5.943,5.31392,,
5.9943,,3.36681,
6.1766,,,1.6944
6.3608,,3.45032,
6.9502,5.56448,,
7.002,,,1.84944
7.4586,,3.76057,
7.5525,,,1.94484
7.7728,5.82703,,
8.103,,,2.04024
8.3746,,3.97531,
8.5083,5.89848,,
8.8329,,4.07074,
9.1588,,,2.19522
9.2415,6.05355,,
9.3886,,,2.21904
9.4762,,4.14222,
9.5174,6.07736,,
9.6058,6.22068,,
9.6596,,4.178,
10.0263,,4.24957,
10.9867,6.28,,
11.5891,,4.40439,
11.6857,,,2.48712
11.9052,6.39918,,
12.2729,6.4349,,
12.422,,,2.52274
12.6907,,4.5713,
13.7429,6.61364,,
13.8876,,4.61872,
13.9883,,,2.54616
14.071,,4.6545,
15.0836,,4.70198,
15.2292,,,2.67122
15.3994,6.70871,,
15.8203,,4.72565,
16.7803,6.76803,,
17.8533,,,2.77197
17.9782,6.77961,,
18.1229,,4.78469,
18.7743,,,2.79559
19.36,6.80309,,
20.9387,,,2.85467
22.6433,,,2.87208
22.768,6.88569,,
22.8205,,4.8908,
23.7029,,,2.88371
25.9795,,2.17825,
26.9668,,4.93734,
27.0054,6.96804,,
27.6652,,,2.91239
30.9299,,4.93616,
31.7066,6.94275,,
35.3539,,4.93483,
35.7613,6.96543,,
36.604,,,2.96347
39.5926,,4.9694,
39.7244,6.96425,,
