x,Curve2
2.1159,122.43
4.2548,123.787
6.3137,124.186
8.375,127.65
8.773,130.335
9.0162,137.425
9.3895,158.884
9.5255,180.724
9.8698,215.593
10.3467,217.895
10.4957,206.019
10.825,171.922
11.0479,153.533
11.3094,133.803
11.6225,129.208
12.0555,126.146
12.4903,125.191
13.5591,125.2
14.7062,123.867
15.7749,123.684
17.7936,123.316
18.8232,123.707
19.8947,126.972
20.9724,138.092
21.2631,155.335
21.7907,171.623
21.9613,187.141
22.2582,212.048
22.5397,217.606
22.8931,213.969
22.9221,200.559
23.4093,165.888
23.4347,148.072
23.894,128.152
24.6846,126.626
25.6751,127.591
26.9014,126.451
27.85,124.543
28.5257,127.996
28.7683,134.32
29.0477,137.196
29.6811,137.201
29.797,133.562
30.1478,126.668
30.7789,123.799
32.3605,121.321
33.5482,121.33
34.3797,121.528
34.7765,122.68
35.3334,126.133
36.0856,126.139
36.7174,124.036
37.5067,120.977
38.3777,120.984
39.5644,119.843
41.7028,120.626
42.6924,120.442
43.9995,121.41
44.9935,126.782
45.2767,134.447
45.4408,141.728
45.9304,160.122
46.2946,170.087
46.535,173.728
46.9655,167.41
47.0392,160.514
47.2701,152.086
47.421,142.701
47.8507,135.424
48.1213,127.189
48.6726,123.553
50.0557,120.307
52.0742,119.748

