x,Curve1
205.479,48.204
206.712,48.439
207.808,49.632
209.589,50.822
210.959,52.013
212.466,54.161
213.562,56.789
214.795,59.177
215.616,62.045
216.438,65.392
216.849,68.022
217.26,71.37
217.397,74.24
218.493,78.782
218.63,82.13
218.767,84.044
219.452,86.434
220.274,88.106
221.096,89.299
221.918,89.296
223.151,89.053
224.384,89.766
225.068,90.482
226.438,91.673
227.945,92.146
229.726,92.14
231.233,91.418
232.055,90.936
233.562,89.974
234.932,89.969
236.027,89.248
237.123,87.809
237.534,83.98
238.493,80.627
239.041,77.994
240,75.12
240.411,72.247
240.959,69.375
241.507,65.545
241.781,60.042
241.918,56.214
242.466,52.623
242.74,47.838
243.151,43.769
243.288,39.941
243.699,35.155
243.836,31.566
244.11,23.192
244.384,14.818
244.932,11.227
245.068,8.595
245.753,6.44
246.575,5.958
247.26,5.717
248.356,7.388
249.452,8.58
250.959,11.207
253.699,13.35
255.342,14.541
257.397,15.969
259.315,16.68
260.685,17.872
