x,Curve1
2.56,1.0015
3.1644,1.4312
3.6269,1.7253
4.308,1.6132
4.7376,1.6138
5.2732,1.7499
5.6967,2.3826
6.3043,2.4736
7.0197,2.5196
7.3389,2.8361
7.6953,2.9946
7.9069,3.3336
8.7646,3.4701
9.4089,3.4708
9.7662,3.539
9.9773,3.9231
10.2598,4.3299
10.7238,4.4659
11.5108,4.512
11.9751,4.6254
12.3296,4.9871
12.8279,5.2813
13.1841,5.4623
13.613,5.5306
14.2557,5.6894
14.7888,6.0964
15.2875,6.3454
15.8223,6.5718
16.2855,6.7982
16.3558,6.9338
16.7827,7.2052
17.3528,7.4768
17.8874,7.7259
18.3868,7.9071
18.669,8.3364
19.347,8.563
19.6303,8.8795
20.1291,9.1284
20.5204,9.3773
21.1251,9.7844
21.5857,10.2817
22.1549,10.6437
22.7947,11.1186
23.1835,11.6384
23.6079,12.1808
36.5977,12.5124
37.2353,13.2131
37.5879,13.778
38.0854,14.1625
38.834,14.4795
39.1163,14.9088
39.6841,15.4288
39.9314,15.7678
40.6449,16.017
40.999,16.4239
41.5689,16.7181
42.1392,16.9672
42.53,17.2837
43.0999,17.5779
43.5264,17.8946
44.2073,17.8051
44.4879,18.415
45.4131,18.9806
46.0572,19.004
46.5905,19.3885
46.9102,19.6372
47.4456,19.7959
47.8364,20.1125
48.3705,20.4066
48.6549,20.6102
49.5819,20.9952
50.0815,21.1538
50.6878,21.3803
51.044,21.5614
51.2924,21.7875
51.8615,22.172
52.3247,22.3983
52.644,22.6923
52.928,22.941
53.1048,23.167
53.9658,22.9648
54.1735,23.7101
54.8885,23.8013
55.4605,23.8697
55.7109,23.8926
56.0264,24.5929
56.6331,24.7743
57.0955,25.091
58.025,25.205
58.0565,25.6566
58.6258,26.0185
59.12,26.7417
59.6571,26.7197
