x,Curve1
-98.15,2.4414
-96.388,2.4144
-94.89,2.4595
-92.07,2.5045
-90.22,2.5315
-88.634,2.5315
-87.313,2.5135
-85.198,2.5045
-83.26,2.5135
-81.85,2.5315
-80.176,2.5766
-78.502,2.6306
-77.181,2.6847
-75.33,2.6486
-74.449,2.5856
-72.247,2.5586
-70.925,2.5135
-69.515,2.4865
-68.37,2.5225
-66.872,2.6126
-65.639,2.7117
-64.405,2.7748
-63.084,2.8378
-62.026,2.8739
-61.057,2.9189
-59.736,2.8288
-58.678,2.7838
-57.533,2.7117
-56.211,2.7117
-54.978,2.6396
-54.009,2.5676
-52.511,2.5045
-51.013,2.5495
-50.132,2.6577
-49.075,2.7928
-48.106,2.9459
-47.313,3.0901
-46.696,3.1802
-45.903,3.2613
-45.374,3.1622
-44.229,3.0541
-43.7,2.955
-42.996,2.8018
-42.467,2.7027
-41.938,2.6667
-40.881,2.7838
-40.264,2.8288
-39.471,2.7297
-38.855,2.6396
-38.238,2.4955
-37.709,2.4414
-37.004,2.3784
-35.859,2.4595
-34.89,2.6126
-34.626,2.7748
-33.833,2.955
-33.216,3.1532
-32.863,3.3514
-32.687,3.5225
-32.423,3.6937
-31.63,3.8468
-31.366,4.009
-31.101,4.2432
-30.837,4.4144
-30.308,4.5315
-30.044,4.3784
-29.692,4.1622
-29.427,3.973
-29.251,3.7928
-28.546,3.6216
-28.106,3.4414
-27.841,3.2613
-27.753,3.1081
-27.665,2.991
-27.225,2.8559
-26.872,2.7928
-26.256,2.9099
-26.079,2.982
-25.639,3.0811
-25.11,3.0541
-24.846,2.9009
-24.758,2.8108
-24.317,2.6577
-23.965,2.5495
-23.172,2.4685
-22.555,2.3333
-21.057,2.3153
-19.912,2.3514
-19.383,2.5315
-18.678,2.6216
-17.797,2.7297
-17.709,3.045
-17.621,3.1982
-17.533,3.4144
-17.269,3.6126
-17.181,4.1171
-17.004,4.5315
-16.652,4.9279
-16.476,5.6937
-16.388,5.991
-16.211,6.3153
-15.859,6.6667
-15.595,6.9189
-15.419,7.3694
-14.714,7.3604
-14.449,6.8198
-14.273,4.7297
-14.009,4.045
-13.744,3.7928
-13.48,3.5856
-12.863,3.3063
-12.511,3.4505
-11.894,3.9369
-11.718,4.1441
-11.63,4.3604
-11.454,4.5586
-11.101,4.7027
-10.573,4.8198
-9.956,4.4955
-9.163,3.6036
-8.634,3.018
-8.106,2.4595
-7.93,1.964
-7.665,1.7207
-6.872,1.4144
-6.167,1.1622
-5.903,0.973
-5.374,0.7387
-4.581,0.6216
-3.7,0.6216
-2.996,0.7117
-2.555,0.8468
