x,Curve1
1.514183,0.2649
1.514818,0.38072
1.514869,0.5125
1.515095,0.64129
1.515267,0.76209
1.515574,0.84196
1.515825,0.91684
1.516429,0.97675
1.516691,1.02967
1.517308,1.06162
1.517759,1.0786
1.518286,1.05964
1.51853,1.02869
1.518716,1.00174
1.51885,0.96081
1.519495,0.93486
1.519859,0.89394
1.520327,0.87697
1.520687,0.84603
1.521388,0.82108
1.522321,0.79314
1.523314,0.76121
1.524064,0.75423
1.525846,0.75326
1.526935,0.75926
1.527559,0.77724
1.528763,0.78325
1.529736,0.79225
1.531224,0.80325
1.532433,0.79927
1.532827,0.81625
1.534095,0.81028
1.534834,0.82626
1.536497,0.83427
1.537638,0.85126
1.538606,0.87024
1.540325,0.88125
1.541412,0.89225
1.542271,0.89725
1.543067,0.91523
1.544504,0.91525
1.545528,0.93723
1.547074,0.94923
1.548499,0.97421
1.549421,0.96824
1.551016,0.99921
1.552516,0.98625
1.553823,1.01821
1.556297,1.01226
1.55703,1.04222
1.560064,1.06622
