x,Curve1
-0.63944,0.82056
-0.63935,0.8432
-0.63925,0.86887
-0.63834,0.88019
-0.63517,0.79926
-0.63435,0.78665
-0.63361,0.75358
-0.63354,0.77099
-0.63033,0.70137
-0.63027,0.71878
-0.6302,0.73619
-0.62958,0.67004
-0.62639,0.59738
-0.62629,0.62175
-0.6262,0.64569
-0.62405,0.52733
-0.62391,0.56258
-0.62337,0.47902
-0.62239,0.50732
-0.62178,0.43986
-0.61508,0.37201
-0.61496,0.40422
-0.61431,0.34808
-0.61096,0.31328
-0.60846,0.28718
-0.60604,0.23628
-0.60443,0.20408
-0.60419,0.26458
-0.60368,0.17319
-0.6021,0.13055
-0.60052,0.09139
-0.59717,0.05659
-0.59553,0.0318
-0.59496,-0.04523
-0.59485,-0.01651
-0.59474,0.01135
-0.58982,-0.06566
-0.5873,-0.09001
-0.58129,-0.10956
-0.5744,-0.12693
-0.55353,-0.12507
-0.5465,-0.10762
-0.53948,-0.09017
-0.53593,-0.07274
-0.53239,-0.05705
-0.52885,-0.03963
-0.5253,-0.0222
-0.52176,-0.00477
-0.51821,0.01266
-0.51728,0.03007
-0.51716,0.05967
-0.5127,0.09016
-0.50997,0.11933
-0.50639,0.14721
-0.50449,0.189
-0.50175,0.22165
-0.49729,0.25084
-0.49633,0.27565
-0.49093,0.32138
-0.48996,0.34793
-0.48551,0.37494
-0.48369,0.39497
-0.48185,0.42196
-0.4783,0.43939
-0.47476,0.45682
-0.47121,0.47425
-0.47114,0.49166
-0.4676,0.50909
-0.46405,0.52651
-0.46051,0.54394
-0.45696,0.56137
-0.44994,0.57882
-0.4464,0.59451
-0.43937,0.61196
-0.42539,0.62945
-0.39754,0.63657
-0.36975,0.62803
-0.35241,0.6142
-0.33856,0.59687
-0.33167,0.58125
-0.3213,0.5639
-0.31441,0.54653
-0.30751,0.5309
-0.30062,0.51354
-0.29373,0.49617
-0.28685,0.4788
-0.28343,0.46141
-0.27654,0.44404
-0.26965,0.42842
-0.26624,0.41103
-0.25935,0.39366
-0.25246,0.37629
-0.24905,0.3589
-0.24216,0.34153
-0.23527,0.32417
-0.22837,0.30854
-0.22148,0.29117
-0.21459,0.2738
-0.21118,0.25641
-0.20429,0.23905
-0.1974,0.22342
-0.19051,0.20605
-0.18362,0.18868
-0.17673,0.17131
-0.16984,0.15395
-0.16294,0.13832
-0.15605,0.12095
-0.14569,0.1036
-0.14228,0.08622
-0.1319,0.07061
-0.12153,0.05326
-0.11116,0.03765
-0.08332,0.0413
-0.06239,0.05534
-0.03453,0.06595
-0.0032,0.0731
0.02814,0.08024
0.05946,0.08564
0.09079,0.09279
0.11866,0.1034
0.14653,0.114
0.17436,0.11591
0.19866,0.10386
0.21948,0.09006
0.24386,0.0989
0.25783,0.11465
0.26833,0.13038
0.27883,0.14785
0.29281,0.16359
0.30331,0.18106
0.3138,0.19679
0.32778,0.21254
0.33828,0.23001
0.35225,0.24576
0.36276,0.26323
0.37673,0.27898
0.39074,0.30517
0.40472,0.32092
0.41869,0.33667
0.42919,0.35413
0.44317,0.36988
0.45714,0.38563
0.47112,0.40138
0.4851,0.41887
0.49907,0.43462
0.51304,0.45037
0.5305,0.46613
0.54446,0.48014
0.56192,0.49591
0.57937,0.51168
0.60029,0.52573
0.62469,0.53805
0.65602,0.5452
0.69081,0.54714
0.7186,0.53686
0.73593,0.52303
0.74284,0.51045
0.7661,0.45358
0.76864,0.43444
0.77286,0.40226
0.77292,0.41836
0.77454,0.38704
0.77524,0.34222
0.7762,0.36703
0.77855,0.30002
0.77863,0.32048
0.78017,0.26957
0.7817,0.21604
0.7818,0.23955
0.78247,0.18863
0.7841,0.16035
0.791,0.14603
0.7934,0.09339
0.79435,0.11385
0.79681,0.07339
0.79741,0.00506
0.79748,0.02421
0.79756,0.0438
0.79905,-0.02017
0.80161,-0.03408
0.80667,-0.0754
0.80673,-0.05799
0.81001,-0.11019
0.81008,-0.09278
0.81335,-0.14499
0.81342,-0.12758
0.82013,-0.19021
0.82021,-0.16976
0.82702,-0.20758
0.84444,-0.20226
0.85146,-0.18481
0.85501,-0.16738
0.85681,-0.15083
0.85952,-0.12296
0.8631,-0.09857
0.86672,-0.06243
0.86864,-0.01324
0.86941,-0.04109
0.87135,0.01202
0.87492,0.03554
0.87594,0.07515
0.88042,0.10825
0.88687,0.20186
0.88749,0.13832
0.88846,0.164
0.88875,0.24017
0.89252,0.31461
0.89323,0.27283
0.89959,0.34511
0.90321,0.38169
0.90507,0.4126
0.90603,0.43654
0.91135,0.46138
0.91263,0.56845
0.91335,0.53015
0.91488,0.47576
0.91797,0.59938
0.91809,0.63071
0.92605,0.66601
0.92705,0.69866
0.93328,0.73612
0.93338,0.76136
0.94144,0.82321
0.94154,0.84758
0.94306,0.79188
0.94424,0.8724
