x,Curve1
-2.102237,0.6883
-2.09489,0.7265
-2.089184,0.8036
-2.084298,0.9064
-2.079411,0.9964
-2.072062,1.0218
-2.064707,1.0085
-2.057352,0.9952
-2.049999,0.9948
-2.041829,0.9944
-2.033659,0.994
-2.02631,1.0194
-2.018142,1.0319
-2.009975,1.0443
-2.004268,1.1214
-1.999383,1.2242
-1.996953,1.3529
-1.994521,1.4688
-1.99127,1.5717
-1.986385,1.6746
-1.982317,1.7774
-1.979061,1.8546
-1.972538,1.9316
-1.965191,1.9699
-1.957838,1.9695
-1.94967,1.9819
-1.942315,1.9687
-1.934145,1.9683
-1.925975,1.9678
-1.917805,1.9674
-1.909637,1.9799
-1.902295,2.0439
-1.896588,2.121
-1.890882,2.198
-1.885178,2.2879
-1.878654,2.3649
-1.873765,2.4419
-1.86888,2.5448
-1.864812,2.6477
-1.860746,2.7634
-1.855041,2.8534
-1.848518,2.9303
-1.840352,2.9557
-1.833001,2.9682
-1.824831,2.9678
-1.816661,2.9674
-1.808491,2.9669
-1.800321,2.9665
-1.792151,2.9661
-1.783981,2.9657
-1.776635,3.004
-1.770109,3.068
-1.765224,3.1709
-1.761158,3.2867
-1.75709,3.3895
-1.753841,3.5054
-1.749775,3.6211
-1.74407,3.711
-1.739185,3.8139
-1.732662,3.8909
-1.725317,3.942
-1.717969,3.9674
-1.709801,3.9799
-1.702452,4.0053
-1.694278,3.9791
-1.686108,3.9787
-1.678755,3.9783
-1.672221,3.9908
-1.664876,4.042
-1.658355,4.1319
-1.655104,4.2348
-1.651855,4.3506
-1.647789,4.4664
-1.64372,4.5693
-1.638016,4.6592
-1.63231,4.7362
-1.624967,4.8003
-1.617621,4.8385
-1.609455,4.8639
-1.602108,4.9022
-1.59394,4.9146
-1.585772,4.9271
-1.578426,4.9654
-1.571073,4.965
-1.562905,4.9775
-1.556377,5.0287
-1.552305,5.1058
-1.54742,5.2086
-1.544171,5.3244
-1.540922,5.4403
-1.537673,5.5561
-1.534424,5.6719
-1.529538,5.7747
-1.524651,5.8647
-1.516487,5.9029
-1.508317,5.9025
-1.50015,5.915
-1.492799,5.9275
-1.484631,5.9399
-1.476463,5.9524
-1.468295,5.9649
-1.460946,5.9903
-1.453597,6.0156
-1.447893,6.1056
-1.443008,6.2084
-1.440576,6.3243
-1.437329,6.453
-1.434897,6.5688
-1.430831,6.6846
-1.426763,6.7875
-1.421056,6.8645
-1.412888,6.877
-1.404714,6.8508
-1.396544,6.8503
-1.389195,6.8757
-1.381844,6.8882
-1.374498,6.9265
-1.36633,6.939
-1.358981,6.9644
-1.352449,6.9898
-1.346747,7.0926
-1.342679,7.1955
-1.339428,7.2984
-1.336181,7.4271
-1.332932,7.5429
-1.329683,7.6587
-1.324798,7.7616
-1.31991,7.8515
-1.312564,7.8898
-1.304398,7.9152
-1.297858,7.8891
-1.28969,7.9015
-1.281522,7.914
-1.275816,7.991
-1.26846,7.9778
-1.262754,8.0548
-1.256229,8.1189
-1.251341,8.2088
-1.247275,8.3246
-1.244026,8.4404
-1.241594,8.5563
-1.238345,8.6721
-1.235096,8.7879
-1.230211,8.8907
-1.223685,8.9548
-1.216332,8.9545
-1.208977,8.9412
-1.201635,9.0052
-1.194286,9.0306
-1.186933,9.0303
-1.180403,9.0686
-1.17305,9.0682
-1.165702,9.0936
-1.160812,9.1707
-1.156744,9.2735
-1.15104,9.3635
-1.147791,9.4793
-1.143723,9.5822
-1.140476,9.7108
-1.135588,9.8008
-1.130701,9.8908
-1.125816,9.9936
-1.118469,10.0319
-1.112761,10.096
-1.106231,10.1343
-1.099701,10.1727
-1.09317,10.1981
-1.086636,10.2107
-1.079276,10.1716
-1.071928,10.197
-1.067042,10.2998
-1.061338,10.3898
-1.05727,10.4926
-1.054021,10.6085
-1.051589,10.7243
-1.047523,10.8401
-1.042636,10.93
-1.03857,11.0458
-1.033682,11.1358
-1.026338,11.1869
-1.018987,11.1994
-1.011638,11.2248
-1.004291,11.2631
